city,stationID,stationName,aliases,translations,stationCode,longerStationCode,altCodes,priority
"Dwight, IL",,Dwight,,,DWT,,,0
"Daytona Beach, FL",,Daytona Beach,,,DYA,,,0
"Dyer, IN",,Dyer,,,DYE,,,0
"Ebensburg, PA",,Ebensburg,,,EBN,,,0
"Edmonds, WA",,Edmonds,,,EDM,,,0
"Effingham, IL",,Effingham,,,EFG,,,0
"Egg Harbor City, NJ",,Egg Harbor City,,,EGH,,,0
"Eureka, CA",,Eureka,,,EKA,,,0
"Elk Grove, CA",,Elk Grove,,,EKG,,,0
"Elkhart, IN",,Elkhart,,,EKH,,,0
"Elko, NV",,Elko,,,ELK,,,0
"El Paso, TX",,Union Depot,Union Depot,,ELP,,,0
"Elsie, OR",,Elsie,,,ELS,,,0
"Elizabethtown, PA",,Elizabethtown,,,ELT,,,0
"Elyria, OH",,Elyria,,,ELY,,,0
"Escanaba, MI",,Escanaba,,,EMI,,,0
"Emeryville, CA",,Emeryville,,,EMY,,,0
"Ephrata, WA",,Ephrata,,,EPH,,,0
"El Portal, CA",,El Portal,,,EPL,,,0
"Erie, PA",,Erie,,,ERI,,,0
"El Segundo, CA",,El Segundo,,,ESG,,,0
"Essex, MT",,Essex,,,ESM,,,0
"Easton, MD",,Easton,,,ESN,,,0
"Essex Junction, VT",,Amtrak Station,Burlington,,ESX,,,0
"Eugene-Springfield, OR",,Chase Bank,Springfield,,EUB,,,0
"Eau Claire, WI",,University of Wisconsin,,,EUC,,,0
"Eugene, OR",,Amtrak Station,,,EUG,,,0
"Eugene, OR",,University of Oregon,,,EUO,,,0
"Evans Mills, NY",,Evans Mills,,,EVM,,,0
"Everett, WA",,Everett,,,EVR,,,0
"Evanston, WY",,Evanston,,,EVY,,,0
"Newark, NJ",,Liberty International Airport,"Liberty International,Liberty Airport,Liberty Intl",,EWR,,,0
"Exeter, NH",,Exeter,,,EXR,,,0
"Exton, PA",,Exton,,,EXT,,,0
"Fargo, ND",,Fargo,,,FAR,,,0
"Fayetteville, NC",,Fayetteville,,,FAY,,,0
